tx_type,client,tx,amount
resolve,78,61,74.3754
dispute,88,40,51.8747
deposit,19,94,87.4288
dispute,77,84,61.3778
dispute,77,29,32.2162
dispute,94,2,83.194
dispute,2,17,31.5373
deposit,73,67,93.3308
resolve,54,13,83.3042
resolve,67,28,70.9416
withdraw,11,67,28.3888
chargeback,37,86,1.0951
deposit,65,13,93.2972
chargeback,32,26,22.3817
resolve,12,50,45.5584
deposit,76,14,70.8271
chargeback,6,55,68.9076
withdraw,42,69,51.5602
deposit,38,3,58.0633
resolve,73,89,25.0185
resolve,65,19,36.7538
deposit,2,68,2.4122
dispute,35,62,98.4268
deposit,17,67,57.7371
deposit,74,22,42.1774
dispute,7,5,85.5342
withdraw,71,84,8.7271
resolve,27,58,26.1712
withdraw,12,18,93.1831
deposit,33,63,21.2568
chargeback,67,15,89.3629
withdraw,9,6,30.8631
chargeback,93,84,45.1751
dispute,49,57,57.5771
deposit,26,52,30.6055
deposit,11,63,14.8566
resolve,39,74,86.797
chargeback,86,100,97.1264
dispute,25,86,0.9975
dispute,49,75,48.2808
resolve,42,49,13.6635
resolve,27,4,77.3392
resolve,61,58,49.4354
chargeback,61,6,0.455
dispute,76,46,39.3778
dispute,56,74,17.5824
chargeback,56,57,83.5731
chargeback,72,58,28.8309
resolve,24,56,82.9821
withdraw,3,24,34.6313
withdraw,16,15,38.6818
chargeback,16,84,28.406
dispute,85,44,48.723
chargeback,44,89,84.916
dispute,38,66,5.4454
deposit,49,12,97.9368
dispute,63,48,89.6131
dispute,42,46,29.1392
dispute,81,28,17.5252
deposit,2,6,52.3759
resolve,84,78,31.8906
deposit,24,58,43.7581
resolve,100,82,42.1136
dispute,3,70,10.0918
deposit,43,82,92.4209
withdraw,64,64,32.1891
dispute,44,87,34.5502
dispute,92,66,58.5808
resolve,12,57,77.2809
dispute,73,14,91.5992
resolve,100,40,93.574
chargeback,73,100,27.0756
chargeback,90,89,25.9384
dispute,81,3,77.1593
resolve,75,1,73.9167
dispute,52,42,57.1449
chargeback,96,84,65.8146
chargeback,61,26,78.2819
deposit,14,91,0.7943
